Rank1	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU248	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus	?
OTU52	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	?	?
OTU338	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	?	?
OTU522	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11 terrestrial group	uncultured Gemmatimonadetes bacterium	?	?
OTU1150	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11 terrestrial group	uncultured Gemmatimonadetes bacterium	?	?
OTU2946	Bacteria	Gemmatimonadetes	Gemmatimonadetes	AT425-EubC11 terrestrial group	?	?	?
OTU1577	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	uncultured Gemmatimonadetes bacterium
OTU1945	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	?
OTU1276	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera	?
OTU919	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	?
OTU808	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus sp. Lab-1
OTU818	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	uncultured organism
OTU589	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	?
OTU2106	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	?
OTU2981	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus	?
OTU1795	Bacteria	Saccharibacteria	TM7 phylum sp. oral clone DR034	?	?	?	?
OTU3547	Bacteria	Saccharibacteria	uncultured Candidatus Saccharibacteria bacterium	?	?	?	?
OTU3056	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Mucispirillum	?
OTU1001	Bacteria	?	?	?	?	?	?
OTU497	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU3944	Eukaryota	Vertebrata	Mammalia	?	?	?	?
OTU937	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU446	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU329	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU2786	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Penicillium sp. KCTC16081	?
OTU347	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU3567	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU312	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU375	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU685	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	?	?	?
OTU1885	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU323	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	?	?	?
OTU848	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	?	?
OTU1183	?	?	?	?	?	?	?
OTU568	?	?	?	?	?	?	?
OTU3153	?	?	?	?	?	?	?
OTU1047	?	?	?	?	?	?	?
OTU2173	?	?	?	?	?	?	?
OTU649	?	?	?	?	?	?	?
OTU359	?	?	?	?	?	?	?
OTU743	?	?	?	?	?	?	?
OTU862	Bacteria	Proteobacteria	?	?	?	?	?
OTU390	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU590	Bacteria	Proteobacteria	Alphaproteobacteria	?	?	?	?
OTU1509	?	?	?	?	?	?	?
OTU869	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Pythium iwayamai DAOM BR242034	?
OTU2340	?	?	?	?	?	?	?
OTU274	?	?	?	?	?	?	?
OTU1653	Archaea	Thaumarchaeota	South African Gold Mine Gp 1(SAGMCG-1)	uncultured archaeon	?	?	?
OTU1395	Archaea	Thaumarchaeota	Soil Crenarchaeotic Group(SCG)	?	?	?	?
OTU572	?	?	?	?	?	?	?
OTU508	?	?	?	?	?	?	?
OTU3359	?	?	?	?	?	?	?
OTU212	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	?
OTU399	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	?
OTU2083	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	?
OTU3753	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	?
OTU652	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	?	?
OTU3820	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	?
OTU810	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	?	?
OTU2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU916	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroidaceae bacterium MS4
OTU1054	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
OTU1058	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 2	?
OTU3700	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
OTU201	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 2	?
OTU484	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 2	?
OTU443	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
OTU463	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
OTU231	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
OTU482	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
OTU614	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 6	?
OTU1139	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
OTU242	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	?
OTU2295	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	?
OTU699	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	?
OTU687	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	?
OTU1003	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-004	?
OTU731	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU1046	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacterium	?
OTU287	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Nibribacter	?
OTU3794	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	?	?
OTU536	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	?	?
OTU3675	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	?	?
OTU529	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	?	?
OTU553	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	?
OTU610	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	Hymenobacter sp. SAFR-023
OTU681	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Hymenobacter	?
OTU828	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Moheibacter	?
OTU1914	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Flavobacteriaceae bacterium X15M-8
OTU800	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	?
OTU1141	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	?
OTU2296	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	?
OTU2596	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	?
OTU183	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	?
OTU3566	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	?
OTU601	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	uncultured Capnocytophaga sp.
OTU3403	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sputigena
OTU277	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	?
OTU1232	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium sp. A5
OTU211	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	?
OTU709	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	?
OTU244	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bergeyella	?
OTU196	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium	?
OTU796	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bergeyella	uncultured Flavobacteriaceae bacterium
OTU3619	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS 17	?	?
OTU377	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Taibaiella	?
OTU1376	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	?	?
OTU557	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Hydrotalea	?
OTU1225	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Sediminibacterium	?
OTU660	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	?	?
OTU3459	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	?	?
OTU2855	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas	uncultured Chitinophagaceae bacterium
OTU647	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	?	?
OTU824	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Parafilimonas	?
OTU3988	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	?	?
OTU2002	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	?	?
OTU734	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured Bacteroidales bacterium
OTU1158	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	?	?
OTU442	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	?
OTU362	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	?
OTU1335	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Bacteroidetes bacterium RBE2CD-54
OTU564	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	?
OTU4043	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	bacterium enrichment culture clone auto58_4W
OTU4010	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter gracilis
OTU363	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Nubsella	Flavobacterium-like sp. oral clone AZ123
OTU581	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	?
OTU2263	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	?
OTU729	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	?
OTU2840	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales S24-7 group	?	?
OTU917	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales S24-7 group	?	?
OTU295	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales S24-7 group	?	?
OTU17	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales S24-7 group	?	?
OTU1685	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales S24-7 group	?	?
OTU39	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales S24-7 group	?	?
OTU198	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales S24-7 group	?	?
OTU801	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales S24-7 group	uncultured organism	?
OTU11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales S24-7 group	uncultured organism	?
