# Constructed from biom file
OTU ID	D3NPNeg	E3NPNeg	BBeads	F1PNeg	B3PBulk	D2PPos	D2NPBulk	CBeads	F2PNeg	F2NPNeg	C3PNeg	C1PPos	B1PNeg	C1PNeg	F1PBulk	C1NPBulk	BControl	FBeads	B1PBulk	D1PNeg	B3NPPos	D2NPNeg	D3PNeg	F1NPPos	C3NPNeg	EControl	B1PPos	F3NPPos	E2NPPos	F1NPNeg	B2NPNeg	C1PBulk	D1NPBulk	B2NPBulk	E3PBulk	B2PPos	F3NPBulk	C1NPNeg	D2NPPos	E3PPos	F3PNeg	F3NPNeg	F2NPPos	D1NPPos	B3NPNeg	EBeads	C1NPPos	E1PPos	E3NPPos	E1NPPos	E2PNeg	C3NPBulk	E3PNeg	D3NPPos	E1PNeg	B3NPBulk	F1NPBulk	B2NPPos	D2PNeg	E1PBulk	FControl	F2PPos	D1NPNeg	DBeads	D1PBulk	E3NPBulk	F2NPBulk	D3PPos	F1PPos	D1PPos	B1NPPos	B3PNeg	E2NPBulk	E1NPBulk	E2PPos	F3PPos	B1NPNeg	F3PBulk	B2PBulk	D3NPBulk	B2PNeg
OTU10	0.0	0.0	0.0	1845.0	0.0	1127.0	800.0	1.0	896.0	237.0	20.0	4033.0	765.0	6539.0	7220.0	2530.0	0.0	0.0	562.0	3158.0	0.0	1672.0	250.0	403.0	0.0	0.0	127.0	0.0	0.0	5356.0	40.0	6507.0	2422.0	0.0	7.0	2.0	1.0	4073.0	381.0	5.0	4.0	2.0	0.0	1851.0	0.0	0.0	2817.0	182.0	0.0	64.0	0.0	0.0	2.0	0.0	789.0	6.0	4743.0	0.0	2198.0	1306.0	0.0	195.0	74.0	0.0	3513.0	0.0	171.0	140.0	6118.0	870.0	665.0	2.0	2.0	583.0	0.0	0.0	572.0	1.0	12.0	95.0	0.0
OTU14	0.0	3.0	0.0	213.0	0.0	1443.0	1019.0	0.0	338.0	256.0	18.0	4794.0	5755.0	6926.0	1472.0	3426.0	0.0	0.0	5504.0	1077.0	0.0	2118.0	136.0	177.0	0.0	0.0	1334.0	0.0	0.0	1520.0	52.0	6040.0	1268.0	47.0	9.0	1.0	0.0	5304.0	434.0	5.0	6.0	1.0	0.0	943.0	0.0	0.0	3415.0	2108.0	0.0	69.0	0.0	1.0	3.0	0.0	266.0	2.0	1183.0	0.0	2263.0	378.0	14.0	153.0	225.0	0.0	1061.0	0.0	1.0	63.0	1739.0	471.0	2655.0	0.0	3.0	252.0	1.0	1.0	7924.0	0.0	30.0	39.0	1.0
OTU9	0.0	346.0	983.0	155.0	306.0	330.0	67.0	199.0	9062.0	10434.0	117.0	2.0	163.0	8.0	181.0	2.0	0.0	26429.0	120.0	28.0	540.0	128.0	167.0	616.0	172.0	60.0	25.0	6823.0	5906.0	191.0	2357.0	6.0	75.0	1347.0	88.0	1761.0	53.0	8.0	993.0	238.0	83.0	137.0	8397.0	40.0	608.0	8651.0	10.0	9.0	1040.0	396.0	396.0	81.0	17.0	14.0	694.0	1087.0	258.0	367.0	395.0	101.0	54.0	1692.0	35.0	2496.0	31.0	51.0	3685.0	779.0	143.0	40.0	120.0	611.0	728.0	62.0	2137.0	125.0	60.0	103.0	457.0	105.0	536.0
OTU16	183.0	0.0	0.0	0.0	1954.0	0.0	0.0	0.0	24.0	33.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	28418.0	0.0	0.0	0.0	0.0	1259.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	235.0	1.0	0.0	1.0	2576.0	3945.0	0.0	2.0	2384.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	65.0	1.0	3678.0	1.0	0.0	3.0	2.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	7164.0	1.0	1.0	2.0	5566.0	1.0	0.0	0.0	2504.0	0.0	2525.0	0.0	14272.0	0.0
OTU20	0.0	2.0	0.0	222.0	0.0	752.0	996.0	0.0	559.0	281.0	0.0	1209.0	1335.0	1225.0	1782.0	574.0	0.0	1.0	5533.0	1568.0	0.0	1917.0	226.0	605.0	0.0	0.0	1423.0	0.0	2.0	1933.0	0.0	1118.0	1872.0	33.0	4.0	0.0	0.0	1070.0	215.0	21.0	1.0	2.0	0.0	1268.0	0.0	0.0	1031.0	2281.0	0.0	731.0	0.0	0.0	1.0	0.0	848.0	0.0	1777.0	0.0	2631.0	2517.0	0.0	57.0	259.0	0.0	1895.0	1.0	207.0	49.0	2095.0	2148.0	3356.0	0.0	1.0	1744.0	0.0	3.0	7918.0	1.0	3.0	45.0	0.0
OTU13	0.0	2.0	0.0	37.0	1.0	91.0	53.0	0.0	1.0	3.0	1.0	79.0	48.0	69.0	89.0	29.0	0.0	0.0	756.0	127.0	0.0	122.0	13.0	2.0	0.0	0.0	151.0	0.0	1.0	75.0	1.0	59.0	140.0	0.0	10.0	1.0	0.0	56.0	1.0	3.0	3.0	1.0	0.0	88.0	0.0	0.0	115.0	260.0	8.0	1266.0	0.0	0.0	0.0	0.0	3886.0	3.0	115.0	0.0	168.0	31578.0	0.0	1.0	4.0	0.0	110.0	0.0	1.0	1.0	112.0	27.0	8905.0	1.0	1.0	14788.0	0.0	0.0	843.0	1.0	0.0	1.0	0.0
OTU18	0.0	2.0	0.0	206.0	0.0	921.0	362.0	0.0	93.0	136.0	0.0	288.0	514.0	241.0	1151.0	158.0	0.0	1.0	971.0	373.0	1.0	551.0	40.0	1149.0	1.0	1.0	139.0	0.0	0.0	2185.0	0.0	257.0	555.0	18.0	0.0	0.0	0.0	254.0	163.0	12.0	1.0	0.0	0.0	388.0	1.0	0.0	150.0	254.0	0.0	840.0	0.0	0.0	2.0	0.0	1631.0	1.0	1799.0	1.0	1271.0	2626.0	0.0	13.0	55.0	0.0	387.0	0.0	119.0	25.0	1317.0	209.0	1468.0	1.0	0.0	1550.0	1.0	1.0	1253.0	2.0	0.0	27.0	0.0
OTU15	0.0	1.0	0.0	32.0	1.0	77.0	96.0	0.0	2.0	0.0	1.0	16.0	25.0	18.0	139.0	6.0	0.0	0.0	89.0	178.0	0.0	122.0	20.0	6.0	0.0	2.0	5.0	0.0	0.0	124.0	0.0	20.0	192.0	0.0	4.0	1.0	1.0	14.0	75.0	4.0	4.0	2.0	0.0	165.0	0.0	1.0	25.0	18.0	0.0	4.0	0.0	0.0	2.0	0.0	5.0	2.0	114.0	0.0	172.0	20.0	0.0	0.0	0.0	0.0	195.0	0.0	0.0	1.0	131.0	36.0	25.0	1.0	2.0	13.0	0.0	1.0	105.0	1.0	0.0	21.0	0.0
OTU22	0.0	0.0	0.0	4.0	0.0	60.0	35.0	0.0	1.0	0.0	0.0	176.0	534.0	116.0	633.0	76.0	0.0	0.0	12017.0	643.0	0.0	10.0	0.0	142.0	0.0	0.0	1651.0	0.0	0.0	776.0	4.0	134.0	797.0	1.0	1.0	16.0	0.0	126.0	0.0	0.0	1.0	0.0	0.0	578.0	0.0	1.0	82.0	2278.0	0.0	106.0	0.0	0.0	0.0	0.0	132.0	0.0	705.0	0.0	51.0	629.0	0.0	0.0	19.0	0.0	558.0	0.0	1.0	0.0	754.0	257.0	9355.0	0.0	1.0	326.0	0.0	0.0	15505.0	1.0	3.0	0.0	21.0
OTU17	0.0	0.0	0.0	0.0	0.0	2937.0	1487.0	0.0	2.0	0.0	2.0	0.0	1767.0	0.0	0.0	0.0	0.0	0.0	7289.0	2102.0	0.0	2499.0	103.0	0.0	0.0	0.0	2666.0	0.0	0.0	0.0	26.0	1.0	918.0	23.0	0.0	146.0	0.0	0.0	1287.0	0.0	1.0	0.0	0.0	1468.0	0.0	0.0	0.0	4598.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3944.0	0.0	0.0	0.0	120.0	0.0	2364.0	0.0	0.0	65.0	1.0	1451.0	1855.0	1.0	0.0	0.0	0.0	1.0	10610.0	0.0	23.0	103.0	101.0
