OTU,pf3-t0,pf7-t0,pf13-t0,pf14-t0,pf34-t0,pf3-aerobic-9d,pf7-aerobic-9d,pf13-aerobic-9d,pf14-aerobic-9d,pf34-aerobic-9d,pf3-anaerobic-9d,pf7-anaerobic-9d,pf13-anaerobic-9d,pf14-anaerobic-9d,pf34-anaerobic-9d,pf3-aerobic-94d,pf7-aerobic-94d,pf13-aerobic-94d,pf14-aerobic-94d,pf34-aerobic-94d,pf3-anaerobic-94d,pf7-anaerobic-94d,pf13-anaerobic-94d,pf14-anaerobic-94d,pf34-anaerobic-94d
OTU_588,0,0,0,24,8,0,0,0,13,12,2,0,0,3,4,0,0,0,0,2,1,0,0,0,8
OTU_599,0,6,3,14,3,2,12,7,5,4,3,1,0,4,3,0,1,0,0,0,4,1,1,2,1
OTU_4982,1,1,3,7,2,5,1,7,1,6,16,1,1,2,6,1,0,0,0,1,5,1,4,1,3
OTU_5063,2,0,2,22,2,0,7,1,20,7,6,0,0,1,4,0,0,0,0,0,0,0,0,2,0
OTU_824,0,2,5,10,0,3,9,16,5,4,6,6,0,1,0,0,0,0,1,0,0,1,6,1,0
OTU_6376,0,0,0,0,28,0,0,0,0,38,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4
OTU_4848,1,0,1,14,16,1,2,0,11,7,2,0,0,3,6,0,0,0,1,2,1,0,0,2,6
OTU_229,0,3,0,10,2,3,3,0,5,8,25,2,0,3,0,0,0,0,2,0,2,6,0,1,1
OTU_652,2,0,2,10,4,0,2,3,4,2,24,0,0,2,5,0,0,1,0,1,10,0,2,1,1
OTU_3559,0,10,0,7,3,2,9,2,10,2,8,3,0,5,2,3,2,0,1,0,1,2,0,3,1
OTU_395,2,0,2,5,6,1,0,6,7,22,7,0,2,0,2,0,0,0,1,1,3,0,3,6,0
OTU_665,0,5,3,6,2,3,10,8,1,16,2,6,0,0,4,1,0,2,3,1,0,0,1,1,0
OTU_1207,2,4,0,5,0,2,20,0,15,3,14,5,0,0,0,0,0,0,0,0,3,1,0,1,0
OTU_1111,2,4,1,9,0,5,13,2,3,3,9,7,0,3,3,1,0,0,2,1,2,2,0,2,1
OTU_1347,4,2,2,13,5,4,6,4,12,5,9,1,0,1,2,0,0,1,0,1,3,0,0,0,0
OTU_4,1,0,2,5,3,0,9,2,15,6,9,3,1,6,0,0,0,1,1,0,1,2,5,3,0
OTU_358,3,2,11,2,0,2,4,8,6,1,16,1,0,1,3,0,1,2,1,2,2,1,4,0,1
OTU_633,0,0,2,10,4,0,10,17,10,1,6,3,2,0,1,0,0,0,0,0,3,0,3,1,1
OTU_1212,3,2,2,4,2,6,4,8,1,1,22,4,1,0,0,1,0,0,0,1,5,4,1,2,0
OTU_7117,1,0,2,6,4,3,1,6,11,10,14,3,3,0,3,0,0,0,3,0,1,0,2,1,0
OTU_721,2,1,3,7,5,1,2,5,11,8,6,2,0,1,4,3,0,1,1,0,0,5,4,2,0
OTU_729,1,2,0,2,0,21,13,7,6,0,3,1,1,0,0,2,0,3,5,1,1,1,4,0,0
OTU_5374,1,2,13,3,0,6,1,1,2,1,2,2,2,6,4,0,0,1,3,2,6,2,7,6,1
OTU_573,2,4,4,7,10,3,7,11,3,15,2,1,0,0,1,0,1,0,0,0,0,0,1,0,1
OTU_7062,0,0,0,0,12,0,1,1,1,32,3,0,0,0,12,0,0,0,0,3,3,0,0,0,5
OTU_755,2,3,7,5,6,6,11,4,6,2,7,3,2,2,1,1,0,0,0,0,3,0,2,0,0
OTU_421,0,0,0,18,3,0,14,5,11,6,4,0,7,0,0,0,4,0,0,0,0,0,0,0,0
OTU_4702,6,7,7,6,0,6,2,0,1,0,15,6,4,2,1,1,0,1,0,0,3,1,2,1,0
OTU_372,4,3,0,2,2,3,11,0,6,1,17,12,0,0,2,0,0,0,0,2,4,3,0,0,0
OTU_674,0,0,8,22,7,1,3,3,12,10,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0
OTU_1153,0,0,2,10,5,2,0,0,16,13,7,1,0,2,4,1,0,0,1,1,1,0,2,1,2
OTU_5775,4,6,3,12,2,0,6,1,10,6,2,3,0,2,0,0,0,1,2,0,6,3,0,1,1
OTU_1770,0,1,53,6,0,1,1,2,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_563,0,2,3,6,4,3,8,10,3,0,10,6,2,0,1,0,0,0,0,0,3,3,4,1,1
OTU_626,0,9,2,0,0,2,13,0,0,1,1,24,0,0,0,1,0,0,0,0,2,11,2,2,0
OTU_717,0,0,0,2,22,0,0,0,1,35,1,0,0,0,4,0,0,0,0,0,0,0,1,0,4
OTU_1072,0,0,1,2,15,0,0,0,1,24,0,1,0,0,6,0,0,0,0,12,0,0,1,1,6
OTU_3519,0,3,1,20,0,1,4,1,17,7,1,0,0,3,4,0,0,0,0,0,1,0,1,3,3
OTU_4347,2,3,3,4,0,9,7,1,6,0,0,9,2,9,0,0,0,0,0,0,7,2,1,5,0
OTU_5671,0,0,0,8,4,1,3,2,17,12,10,0,1,2,0,0,0,0,1,1,1,2,1,3,0
OTU_370,0,0,1,16,2,0,3,0,9,11,5,2,0,2,3,0,1,0,0,2,0,3,2,6,1
OTU_6295,1,3,1,9,9,4,3,6,12,3,8,0,1,0,1,0,0,0,0,0,2,2,0,4,0
OTU_843,0,6,1,8,1,3,2,1,21,1,10,2,0,4,0,0,0,0,0,0,1,1,3,3,1
OTU_1093,0,1,7,11,0,2,3,1,10,3,3,5,1,5,1,0,0,1,1,1,2,1,4,5,1
OTU_790,1,4,4,29,1,0,6,0,10,0,0,5,0,2,0,0,1,0,0,0,0,5,0,0,0
OTU_915,0,2,0,2,13,3,7,0,3,17,4,1,0,2,7,0,0,0,0,3,0,0,0,1,2
OTU_1163,1,2,0,8,0,2,9,0,3,8,24,5,0,0,0,0,0,0,2,0,1,0,1,1,0
OTU_922,1,0,7,21,3,0,1,7,5,5,4,2,0,1,7,0,0,0,0,0,1,0,0,1,1
OTU_993,2,3,4,3,1,6,0,2,2,15,6,1,2,1,9,0,0,0,0,2,1,1,0,0,6
OTU_970,0,0,0,1,0,2,2,0,0,0,41,1,0,0,0,7,0,2,0,0,9,1,1,0,0
OTU_559,3,2,0,11,2,3,5,0,11,1,10,5,0,6,0,0,2,0,0,0,0,5,0,0,0
OTU_857,4,0,0,2,9,7,0,2,2,4,22,0,0,0,3,0,0,0,0,0,3,0,1,0,7
OTU_215,2,0,1,13,2,3,6,0,2,1,21,3,0,0,1,0,1,0,0,1,3,5,0,0,0
OTU_733,5,0,11,0,0,1,0,5,3,3,19,0,2,0,0,0,0,0,0,2,5,0,8,0,1
OTU_5265,2,0,0,0,0,6,1,0,0,0,44,0,0,0,0,1,0,0,0,0,11,0,0,0,0
OTU_871,4,2,4,2,5,4,4,4,1,7,10,2,0,0,4,0,0,0,0,0,3,0,4,0,5
OTU_4826,3,3,1,2,0,4,10,2,2,0,21,7,0,3,0,0,0,0,0,0,2,4,0,1,0
OTU_731,0,0,2,0,10,2,0,0,0,29,9,0,0,0,6,1,0,0,0,1,0,0,0,0,5
OTU_248,3,3,0,14,0,1,11,0,9,0,16,2,0,1,0,0,1,0,0,0,1,3,0,0,0
OTU_1239,1,0,3,6,7,3,2,1,2,5,17,4,1,2,2,2,0,0,0,0,2,0,2,2,0
OTU_912,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,12,0,15,5,28,0,0,0,0,1
OTU_1260,0,0,4,2,7,2,0,1,4,12,5,1,2,6,7,0,0,0,0,2,0,1,1,5,2
OTU_6719,1,1,1,1,2,0,1,0,1,2,2,0,0,1,5,1,3,24,2,4,3,1,4,2,2
OTU_545,4,22,0,1,1,1,12,0,0,0,3,15,0,0,1,0,0,0,0,0,2,1,0,0,0
OTU_688,0,0,0,9,15,2,1,0,11,9,5,0,0,1,5,0,0,0,0,1,0,0,0,1,3
OTU_1089,5,2,0,5,0,5,13,2,10,4,4,8,0,0,0,2,0,0,0,0,3,0,0,0,0
OTU_550,7,2,1,15,0,2,3,1,4,2,14,2,0,2,1,1,1,0,0,0,1,3,0,1,0
OTU_946,0,0,0,1,7,2,2,0,3,15,16,3,0,1,9,0,0,0,0,0,1,0,0,0,3
OTU_7196,3,2,3,0,3,4,0,0,2,3,0,0,1,1,13,0,0,0,0,8,3,0,0,2,15
OTU_712,0,6,0,0,0,0,18,0,0,0,2,19,0,0,0,0,0,0,0,0,0,17,0,0,0
OTU_1295,4,0,0,0,0,14,0,0,1,0,38,0,0,2,0,1,0,0,0,0,2,0,0,0,0
OTU_1448,0,0,1,4,4,3,0,0,5,0,7,1,0,0,0,2,0,2,1,0,13,6,7,2,4
OTU_446,1,1,1,20,0,0,3,2,9,4,5,3,0,3,0,0,0,1,0,0,0,4,4,1,0
OTU_424,0,0,28,0,0,0,23,0,0,1,6,2,0,0,0,1,0,0,0,1,0,0,0,0,0
OTU_5142,2,0,14,0,1,1,1,1,2,0,0,6,3,4,2,0,0,1,0,3,0,1,14,2,4
OTU_678,2,16,1,3,0,1,13,0,1,1,5,8,0,1,0,0,0,0,0,0,0,9,0,0,0
OTU_568,0,0,0,7,3,0,5,5,14,10,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_442,0,1,0,9,4,4,5,0,10,2,20,0,0,1,1,1,0,0,1,0,1,1,0,0,0
OTU_490,5,1,0,6,5,9,3,0,0,0,17,1,1,0,2,2,0,0,0,0,8,0,1,0,0
OTU_957,1,1,0,7,0,4,10,0,6,3,16,1,0,3,1,1,0,0,1,0,4,1,0,1,0
OTU_973,1,0,0,13,5,4,1,0,5,8,13,0,0,2,1,0,0,0,1,0,4,0,0,0,3
OTU_6014,0,0,5,11,0,0,0,18,9,6,0,0,1,1,0,0,0,1,0,1,0,0,6,1,0
OTU_4197,1,1,0,0,7,2,4,0,0,17,6,3,0,0,8,0,1,0,0,0,1,4,1,0,4
OTU_6563,5,0,0,0,0,0,0,0,0,0,51,0,0,0,0,1,0,0,0,0,3,0,0,0,0
OTU_5547,1,0,0,1,20,2,0,0,0,21,2,1,0,0,4,0,0,0,0,3,1,1,1,0,2
OTU_960,0,3,5,9,1,4,4,3,7,1,5,3,0,2,2,0,0,0,0,0,0,0,7,3,1
OTU_179,5,2,2,4,1,5,3,0,3,0,27,2,0,0,1,2,0,0,0,0,2,0,0,1,0
OTU_1182,3,0,0,14,2,1,2,0,4,0,20,3,0,4,0,0,0,0,1,0,3,3,0,0,0
OTU_6778,4,3,3,6,2,4,0,1,4,3,0,0,1,1,6,3,0,0,0,1,3,5,1,7,2
OTU_7006,2,6,4,0,3,6,1,3,3,7,6,1,0,3,3,0,0,2,0,0,4,1,3,2,0
OTU_4785,5,5,3,4,0,3,1,2,5,0,5,8,0,6,4,0,0,0,0,1,2,4,0,0,2
OTU_332,3,0,3,8,1,2,3,0,6,0,14,1,0,2,0,0,0,0,0,1,6,1,0,8,0
OTU_1118,0,0,5,16,0,0,1,0,16,4,5,0,0,1,1,0,0,1,2,1,1,1,2,1,1
OTU_551,2,1,2,7,0,2,7,5,15,1,4,1,0,2,0,1,0,0,0,0,1,1,1,6,0
OTU_7105,1,0,1,22,0,1,4,1,12,2,6,1,0,0,1,0,0,0,0,0,0,1,0,5,0
OTU_947,2,2,5,3,2,0,0,0,5,3,11,2,1,4,4,0,0,0,0,0,6,1,7,0,0
OTU_832,1,0,3,19,5,0,0,3,9,5,5,0,0,1,4,1,0,0,1,0,1,0,0,0,0
OTU_1719,2,1,0,13,0,4,3,0,7,2,16,2,0,1,0,0,0,0,2,0,0,3,0,2,0
OTU_814,0,0,0,9,11,0,0,0,1,18,0,1,0,0,13,0,0,0,0,4,0,1,0,0,0
OTU_771,0,0,3,1,8,3,0,1,4,12,7,0,0,1,8,0,0,0,0,3,0,0,3,0,4
OTU_921,6,1,0,1,1,4,1,2,1,0,30,1,0,0,0,0,0,0,0,0,6,3,0,0,0
OTU_959,0,0,2,2,3,0,7,1,3,23,2,0,1,0,4,0,0,0,0,1,1,0,0,1,6
OTU_2135,2,0,0,9,4,6,2,0,2,7,3,5,1,3,1,0,0,0,0,0,3,6,3,0,0
OTU_1114,0,2,6,3,2,3,7,4,4,1,6,3,2,1,3,0,0,0,1,1,3,1,2,1,1
OTU_7107,1,1,1,2,0,3,10,0,4,2,16,2,0,1,3,0,0,0,0,0,3,3,0,5,0
OTU_1012,2,3,1,10,0,2,5,0,15,1,1,3,0,1,0,0,0,1,2,0,4,1,1,4,0
OTU_7440,4,0,0,3,0,7,4,2,4,0,22,4,0,1,0,2,0,0,1,0,2,0,1,0,0
OTU_1936,0,0,55,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1721,1,1,6,8,5,3,4,6,4,4,8,5,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU_396,6,0,0,2,0,2,1,0,0,2,32,0,0,2,0,0,0,0,0,0,7,0,0,2,0
OTU_4860,1,0,1,4,2,2,0,1,4,14,12,0,3,0,2,0,0,0,1,0,5,1,0,0,3
OTU_461,0,1,1,3,6,3,9,1,2,4,14,0,0,0,2,0,0,0,0,1,3,4,0,1,1
OTU_1627,0,1,0,0,0,1,6,10,5,6,13,2,0,0,1,0,0,0,0,1,0,1,8,1,0
OTU_735,4,5,1,6,3,0,6,2,5,0,6,3,1,3,0,0,1,0,0,0,1,6,0,1,1
OTU_527,0,9,0,1,1,0,25,0,2,0,0,9,0,4,0,0,0,0,0,0,0,4,0,0,0
OTU_805,0,2,1,0,1,5,8,3,0,4,24,1,0,0,0,1,0,2,0,0,0,1,2,0,0
OTU_765,0,1,3,2,16,0,0,3,2,11,3,1,1,0,4,0,0,1,0,2,0,1,2,1,1
OTU_841,2,1,4,7,2,4,6,7,0,4,6,1,0,1,0,0,0,0,2,0,1,4,0,2,1
OTU_734,1,0,0,10,0,3,3,0,6,1,16,2,0,0,1,1,0,0,1,0,9,1,0,0,0
OTU_611,1,2,0,15,3,0,5,1,9,1,6,3,1,2,1,0,0,0,0,1,1,1,0,2,0
OTU_6066,0,1,4,6,2,0,7,8,10,5,4,3,0,0,2,0,0,0,0,0,0,1,2,0,0
OTU_686,0,0,9,0,0,2,11,4,0,1,4,2,5,0,1,0,0,1,0,0,0,3,10,1,0
OTU_276,3,3,0,7,0,4,6,0,3,0,23,1,0,0,0,1,1,0,0,0,0,2,0,0,0
OTU_6384,0,3,0,8,0,1,6,0,10,14,3,0,2,2,2,0,0,0,0,1,0,0,1,1,0
OTU_974,1,0,3,1,0,0,8,3,0,0,21,0,0,0,0,1,0,0,0,0,5,7,4,0,0
OTU_501,1,0,3,11,8,2,0,1,1,12,0,1,0,0,7,0,0,0,0,2,0,2,1,0,2
OTU_1323,0,0,1,0,2,3,1,1,0,3,16,2,1,1,2,1,0,0,0,1,6,5,3,2,3
OTU_876,4,2,0,5,1,0,0,4,1,13,7,2,1,3,2,0,0,0,1,0,0,2,1,2,3
OTU_725,0,2,3,19,0,1,4,10,9,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0
OTU_4242,3,5,3,3,2,1,3,1,0,9,14,4,0,0,1,0,0,0,0,0,0,1,3,0,0
OTU_936,0,0,18,6,0,0,4,10,0,4,3,3,2,0,0,0,0,0,0,0,0,0,2,0,1
OTU_7657,0,8,0,4,1,0,15,0,2,7,3,4,0,0,1,0,0,0,0,3,0,2,1,0,2
OTU_594,1,1,5,0,3,0,0,4,0,15,2,2,0,0,6,0,0,0,0,5,2,3,4,0,0
OTU_1472,0,1,12,0,0,0,2,16,0,7,0,0,4,0,0,0,0,0,0,1,0,0,9,1,0
OTU_1732,1,3,1,3,1,1,7,2,1,5,11,3,2,1,3,1,1,0,0,1,1,1,3,0,0
OTU_2284,0,1,5,7,1,0,2,6,13,5,3,0,1,1,3,0,0,0,0,0,0,0,4,1,0
OTU_1053,1,0,4,0,9,0,0,6,0,16,7,0,0,0,1,0,0,0,0,2,1,0,2,0,4
OTU_302,1,2,0,14,0,1,4,1,11,1,8,1,1,2,0,0,0,0,0,0,2,1,0,3,0
OTU_965,0,0,4,0,7,0,1,5,0,21,0,0,0,0,3,0,0,1,0,1,0,1,4,0,5
OTU_4346,0,0,1,4,4,0,1,1,11,5,9,1,2,2,4,0,0,0,1,1,2,0,1,3,0
OTU_930,2,2,1,9,0,1,1,2,6,4,2,1,0,5,5,1,0,0,0,2,0,6,1,1,1
OTU_1272,1,0,0,25,0,0,0,1,7,7,3,0,0,1,0,0,0,0,0,1,4,0,1,2,0
OTU_5856,0,0,0,1,17,0,1,0,0,25,0,0,0,1,0,0,4,1,1,1,0,0,0,0,0
OTU_392,0,0,22,3,0,1,4,3,2,5,7,0,0,0,1,0,0,0,0,0,0,2,1,1,0
OTU_714,0,5,1,7,0,0,10,2,3,1,7,6,0,3,0,0,0,0,0,0,1,3,2,1,0
OTU_985,2,0,0,10,0,2,7,0,6,8,7,1,0,0,2,0,0,0,1,0,2,4,0,0,0
OTU_5404,3,4,3,9,1,0,6,4,5,2,4,2,0,0,0,0,0,0,0,0,4,0,3,2,0
OTU_1379,0,2,4,11,3,2,4,3,6,1,5,0,0,1,2,1,0,0,0,0,1,3,3,0,0
OTU_1838,0,0,0,15,0,1,2,2,18,0,2,3,1,2,0,0,0,0,3,0,1,1,0,1,0
OTU_1199,1,7,2,3,1,0,9,0,3,7,1,2,1,0,2,0,0,0,0,2,1,3,5,1,1
OTU_5675,0,2,0,2,1,1,13,2,8,11,4,1,0,1,1,0,0,0,0,0,2,2,0,0,1
OTU_840,0,0,9,1,0,0,2,11,1,0,1,1,6,1,0,0,0,1,0,0,0,1,16,0,0
OTU_580,0,1,1,16,0,0,8,2,10,0,0,4,0,2,0,0,0,0,0,0,0,4,0,3,0
OTU_866,0,1,0,9,0,0,4,0,14,1,14,0,0,3,0,0,0,0,0,0,2,3,0,0,0
OTU_579,1,1,2,15,1,0,6,2,2,5,5,1,0,3,1,0,0,1,0,1,0,1,2,0,0
OTU_767,1,3,1,7,5,0,3,6,4,2,11,1,0,1,1,0,0,0,0,0,0,1,1,2,0
OTU_6195,2,5,0,2,2,4,9,2,0,3,16,1,0,0,1,1,0,0,0,0,2,0,0,0,0
OTU_583,0,1,3,7,2,0,5,5,2,4,5,4,1,2,1,0,0,2,0,0,0,4,2,0,0
OTU_589,0,0,5,5,5,0,0,5,10,8,1,0,0,3,3,0,0,0,0,1,0,0,3,1,0
OTU_1205,1,0,1,0,1,3,0,1,0,0,32,1,0,0,3,2,0,1,0,0,3,0,1,0,0
OTU_1264,1,0,1,3,7,2,3,3,1,10,5,2,1,1,4,0,0,0,0,0,1,2,1,0,2
OTU_1030,0,0,0,0,14,0,0,0,0,19,0,0,0,0,12,0,0,0,0,3,0,0,0,0,2
OTU_360,0,0,2,9,0,0,2,0,27,0,0,1,0,1,0,0,0,0,0,0,1,5,0,2,0
OTU_3542,1,1,9,0,0,1,1,0,1,0,6,6,1,0,5,0,0,0,0,2,1,7,4,0,4
OTU_7270,2,2,3,0,0,7,5,2,0,1,17,5,1,0,0,1,0,1,0,0,0,1,1,0,0
OTU_648,1,1,1,8,1,1,9,0,8,0,5,4,1,2,1,0,0,0,0,0,3,2,1,0,0
OTU_833,0,2,3,7,3,0,5,2,4,0,2,2,1,0,0,7,0,7,0,2,0,0,2,0,0
OTU_1865,4,1,1,6,2,2,6,2,8,0,2,2,0,0,3,0,0,2,0,1,5,1,1,0,0
OTU_846,0,0,0,2,14,0,0,0,2,15,0,1,0,0,3,0,0,0,0,3,0,1,1,0,7
OTU_1157,2,2,0,15,2,2,0,0,5,5,0,1,0,2,4,0,0,0,0,2,1,1,2,2,1
OTU_671,0,0,0,0,17,0,0,0,0,12,2,0,0,0,13,0,0,0,0,1,0,0,0,0,3
OTU_279,0,0,1,8,1,2,4,0,5,3,7,7,1,1,2,0,0,0,1,0,2,1,0,2,0
OTU_1119,7,0,1,1,0,0,0,1,3,0,28,0,1,0,0,0,0,0,0,0,5,0,0,1,0
OTU_176,0,1,0,9,4,3,4,0,3,4,14,1,0,0,1,1,0,0,0,0,2,0,0,1,0
OTU_793,0,1,3,4,1,0,3,22,0,4,3,2,3,0,0,0,0,0,0,0,0,1,1,0,0
OTU_766,0,0,2,5,2,1,0,8,4,8,10,1,0,0,2,0,0,0,1,0,1,0,0,1,2
OTU_1364,0,0,18,2,2,0,1,5,0,1,1,0,3,1,2,0,0,5,0,0,1,0,6,0,0
OTU_1218,1,0,1,9,1,1,0,2,2,8,1,1,1,1,2,0,0,1,1,5,2,0,5,0,3
OTU_963,2,2,0,1,4,2,5,0,0,3,14,1,0,0,1,0,0,0,0,0,2,10,0,0,1
OTU_811,1,4,2,10,5,0,4,0,4,2,8,1,0,1,1,0,0,0,1,0,1,1,0,1,1
OTU_848,0,0,2,31,0,0,1,0,3,2,2,1,1,1,1,0,0,0,1,0,0,0,2,0,0
OTU_1004,0,0,0,17,2,0,0,0,4,2,6,0,0,9,0,0,0,0,0,0,2,0,0,5,1
OTU_713,0,1,1,11,0,0,0,2,19,4,5,1,0,3,0,0,0,0,0,0,0,0,0,1,0
OTU_520,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,18,17,5,4,0,0,0,0,0,0
OTU_1524,0,3,1,3,2,0,1,0,0,16,4,3,0,0,5,0,0,0,0,1,2,1,1,1,3
OTU_152,0,1,0,23,0,1,3,0,1,1,5,2,0,0,2,0,0,0,0,0,1,5,0,1,1
OTU_954,4,3,0,0,2,5,1,1,0,8,13,1,0,0,3,1,0,0,0,1,2,0,0,0,2
OTU_5490,2,0,0,3,0,11,3,0,8,0,9,2,0,3,0,0,1,0,1,0,1,0,0,3,0
OTU_1339,0,1,0,3,0,0,1,0,3,21,8,3,0,0,3,0,0,0,1,2,0,0,0,0,1
OTU_1080,0,0,0,0,1,7,0,0,0,4,28,0,0,0,1,1,0,0,0,0,4,0,0,0,1
OTU_1396,0,3,1,9,0,0,4,1,14,0,9,1,0,2,0,0,0,0,0,0,0,2,0,1,0
OTU_1262,0,1,0,12,0,1,1,0,21,0,7,1,0,1,0,0,0,0,0,0,2,0,0,0,0
OTU_855,1,0,1,4,8,3,2,0,8,2,2,1,1,1,5,0,0,0,0,0,1,1,4,0,1
OTU_853,0,2,0,17,1,0,6,0,2,2,0,2,0,6,0,0,0,0,0,0,0,1,0,7,0
OTU_5766,0,2,0,3,3,2,5,0,3,3,9,1,0,3,2,0,0,0,0,0,5,1,0,4,0
OTU_350,3,3,0,4,2,0,0,0,12,0,11,2,0,2,1,0,0,0,0,0,4,0,0,2,0
OTU_1233,0,0,8,3,0,0,6,5,4,2,7,5,0,1,1,0,0,0,0,1,1,0,2,0,0
OTU_885,0,1,1,16,4,2,2,1,2,2,3,3,0,1,0,0,0,0,0,0,3,2,1,1,1
OTU_1042,0,0,0,8,1,2,2,0,11,11,3,2,0,3,1,0,0,0,0,0,0,1,1,0,0
OTU_738,4,3,0,1,1,1,4,0,0,3,20,2,0,0,0,1,0,0,0,0,3,2,0,0,0
OTU_1693,0,0,1,0,16,0,0,3,0,14,5,0,0,0,2,0,0,0,0,0,0,0,1,0,3
OTU_1108,0,2,3,0,4,0,3,8,0,10,0,3,1,1,2,0,1,2,0,0,0,1,2,0,2
OTU_498,0,3,0,2,1,0,20,0,1,0,7,1,0,0,2,1,0,0,0,0,2,3,0,1,1
OTU_517,1,5,0,1,0,3,11,0,0,0,11,2,0,0,0,0,0,0,1,0,1,8,0,1,0
OTU_961,0,0,0,16,0,0,5,0,8,0,0,6,0,3,0,0,0,0,0,0,2,2,1,2,0
OTU_831,4,1,0,0,0,4,6,0,2,0,16,5,0,0,0,0,1,0,0,1,3,2,0,0,0
OTU_1099,0,1,1,8,0,1,5,0,6,0,7,8,0,2,0,0,0,0,1,0,1,4,0,0,0
OTU_728,0,2,0,4,0,6,6,0,5,0,9,2,0,0,0,1,0,0,0,0,4,5,0,1,0
OTU_6445,0,0,0,0,10,0,0,0,0,14,0,0,0,0,10,0,0,0,0,8,0,0,0,0,3
OTU_6573,0,1,0,11,0,4,0,0,8,0,10,2,0,1,0,2,0,0,0,0,2,2,0,1,1
OTU_736,2,0,0,13,0,2,2,1,10,1,10,0,0,1,0,0,0,0,0,0,1,1,0,1,0
OTU_770,1,2,1,11,0,1,13,0,5,0,2,2,0,0,0,0,0,0,0,0,2,3,0,1,0
OTU_838,2,2,3,7,2,1,0,0,5,1,10,1,0,0,0,0,0,0,0,0,1,4,3,2,0
OTU_904,1,3,2,12,1,1,0,0,1,4,1,1,0,0,4,0,0,0,0,0,3,2,4,3,1
OTU_292,0,3,0,4,1,2,1,0,6,8,11,3,0,0,1,1,0,0,0,0,2,0,0,0,1
OTU_934,0,0,1,10,3,2,0,0,4,12,3,0,0,2,2,0,0,0,0,0,0,0,2,1,2
OTU_1008,0,0,0,3,6,0,0,4,6,8,0,0,2,0,2,0,0,8,0,5,0,0,0,0,0
OTU_818,0,0,0,11,4,0,0,1,4,15,6,0,0,0,2,0,0,0,0,1,0,0,0,0,0
OTU_1097,2,1,0,5,2,0,2,0,13,0,14,1,0,0,0,0,0,0,0,0,1,2,0,1,0
OTU_224,0,3,0,12,0,1,4,0,6,3,1,3,0,5,1,1,0,0,0,0,2,0,0,2,0
OTU_331,3,0,2,9,0,1,0,3,13,0,7,2,0,0,0,0,0,0,0,1,1,0,0,2,0
OTU_1558,0,0,0,9,0,0,2,6,14,7,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0
OTU_2522,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,41,0,0,0,0,0
OTU_338,2,1,1,4,0,2,0,0,1,4,16,4,0,4,1,0,0,0,0,2,1,0,0,0,0
OTU_645,2,1,6,2,1,1,4,5,1,0,6,1,1,2,0,0,0,0,0,0,0,6,2,2,0
OTU_5639,0,0,1,8,6,1,0,0,5,4,6,1,0,3,5,0,0,0,0,1,1,0,0,1,0
OTU_453,0,0,1,11,5,2,13,0,0,0,5,0,0,1,0,0,0,0,0,0,2,2,0,1,0
OTU_1010,1,0,4,0,1,6,3,3,0,5,14,0,0,0,0,1,0,0,0,0,2,0,1,0,2
OTU_1087,0,0,1,0,8,1,0,5,0,7,4,0,0,0,8,0,0,0,0,2,0,0,0,0,7
OTU_931,1,1,2,8,0,0,3,7,7,3,1,0,0,2,1,1,0,1,0,2,1,1,0,1,0
OTU_6139,1,3,2,5,0,2,3,1,10,3,7,0,0,0,1,0,0,0,0,0,0,2,0,3,0
OTU_1196,0,1,1,5,2,0,0,2,8,6,10,0,0,0,4,0,0,0,0,1,0,1,0,2,0
OTU_1290,0,3,2,9,2,0,0,0,4,2,4,1,1,1,6,0,0,0,0,0,2,0,1,1,4
OTU_7745,1,1,2,11,0,3,1,1,6,0,6,3,2,4,0,1,0,0,0,0,0,0,0,1,0
OTU_614,0,1,3,6,1,1,5,3,0,1,0,11,3,2,0,0,0,0,0,0,0,2,2,1,0
OTU_847,1,0,0,4,0,5,0,1,4,2,17,0,1,0,0,0,0,0,0,1,3,0,1,1,1
OTU_1273,0,0,0,1,2,0,0,0,0,32,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1
OTU_990,1,1,0,2,1,1,3,10,0,4,11,0,0,0,1,0,0,0,0,0,1,0,1,1,4
OTU_1644,1,0,3,8,0,1,0,6,0,2,9,1,0,1,1,0,0,0,0,0,2,0,6,1,0
OTU_1667,0,2,6,1,0,0,7,5,0,0,2,5,0,0,0,0,1,0,0,0,2,6,1,4,0
OTU_1014,1,2,0,11,0,0,6,0,10,0,1,3,0,4,0,0,0,0,0,0,1,0,0,3,0
OTU_907,0,0,0,6,2,0,4,0,1,10,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0
