OTU,pf3-t0,pf7-t0,pf13-t0,pf14-t0,pf34-t0,pf3-aerobic-9d,pf7-aerobic-9d,pf13-aerobic-9d,pf14-aerobic-9d,pf34-aerobic-9d,pf3-anaerobic-9d,pf7-anaerobic-9d,pf13-anaerobic-9d,pf14-anaerobic-9d,pf34-anaerobic-9d,pf3-aerobic-94d,pf7-aerobic-94d,pf13-aerobic-94d,pf14-aerobic-94d,pf34-aerobic-94d,pf3-anaerobic-94d,pf7-anaerobic-94d,pf13-anaerobic-94d,pf14-anaerobic-94d,pf34-anaerobic-94d
OTU_53,18,11,92,225,352,67,44,324,187,1748,299,14,24,31,450,8,1,20,12,267,70,21,50,32,295
OTU_43,3,6,55,366,706,4,13,53,236,1854,38,16,17,45,672,0,0,4,4,236,2,7,31,38,192
OTU_38,77,179,4,644,67,139,759,6,723,249,715,298,4,107,58,15,9,0,33,8,124,108,6,69,25
OTU_64,89,84,186,692,110,156,316,356,776,214,440,130,40,142,79,18,10,29,29,15,115,56,117,99,49
OTU_58,120,74,148,441,73,209,295,270,416,310,1077,63,35,79,83,44,6,25,18,25,225,53,109,57,47
OTU_46,125,123,62,773,26,135,428,104,787,139,718,201,13,119,23,32,7,7,27,4,188,83,44,82,15
OTU_6,1,5,8,33,8,1,181,147,131,416,2,2,0,13,7,365,123,1640,1053,55,0,4,6,1,2
OTU_52,48,73,140,552,318,114,216,257,383,472,553,128,34,106,157,10,8,23,35,72,118,83,100,109,24
OTU_27,1,2,4,18,43,0,5,5,3,63,4,2,1,4,9,1692,0,910,237,1080,2,3,4,1,4
OTU_121,4,3,1,46,10,1,16,14,45,24,16,4,0,4,6,67,142,570,2595,313,19,23,13,82,12
OTU_48,146,222,10,405,46,227,777,27,351,174,731,278,7,60,51,43,13,3,15,10,180,129,15,35,25
OTU_120,42,58,99,485,336,79,192,261,430,593,370,95,30,87,211,7,11,22,19,59,80,61,69,80,93
OTU_42,179,182,24,488,60,256,348,15,240,117,738,271,14,96,51,44,23,6,33,20,289,217,10,75,34
OTU_62,111,123,86,354,73,151,515,155,746,189,475,211,15,85,65,62,9,30,80,18,94,89,44,33,5
OTU_70,75,102,177,597,85,95,206,194,541,276,492,106,64,114,82,30,8,16,23,14,135,79,131,105,53
OTU_37,52,74,94,789,117,113,293,239,593,132,558,107,19,97,35,10,10,8,23,15,79,73,57,103,19
OTU_102,73,45,242,423,139,90,208,380,374,326,484,94,59,74,85,12,3,23,18,33,90,47,175,33,56
